phase	label	hot	over	eps_mib	pct	mig_gib	csv
A	ceff	0.9753	1.5000	-	97.5300	15.6055	Tesla P100-PCIE-16GB,plain,1.500,0.9753,0.00000,rand,1,0.00,0.00,4096,contiguous,rmw,reset,0,24.00,16.00,15.605,6291456,4090704,202,3,1,9437184,9,7.4125,2.4672,2.4502,2.4587,3.83,0.06,14.0492,15.6055,15.6055,0,0,0.0000,0.0000,15.6055,0.0000,15.6055,1.1108,1.1108,1.0000,1.0000,1.0000,1.0000,1236.0,0.0,0.0,0.0,0.0,per_iter
A	ceff	0.9754	1.5000	-	97.5400	16.8553	Tesla P100-PCIE-16GB,plain,1.500,0.9754,0.00000,rand,1,0.00,0.00,4096,contiguous,rmw,reset,0,24.00,16.00,15.606,6291456,4091124,202,3,1,9437184,9,7.7974,2.5671,2.6106,2.5889,3.68,0.06,14.0497,15.6074,15.6074,0,0,0.0000,0.0000,16.2239,0.6315,16.8553,1.1997,1.1547,1.0800,1.0396,1.0800,1.0395,1918.0,0.0,0.0,0.0,0.0,per_iter
A	ceff	0.9755	1.5000	-	97.5500	20.7335	Tesla P100-PCIE-16GB,plain,1.500,0.9755,0.00000,rand,1,0.00,0.00,4096,contiguous,rmw,reset,0,24.00,16.00,15.608,6291456,4091543,201,3,2,9437184,9,9.7826,3.2371,3.2371,3.2655,2.92,0.05,14.0530,15.6094,15.6094,0,0,0.0000,0.0000,18.1499,2.5836,20.7335,1.4754,1.2915,1.3284,1.1629,1.3283,1.1628,3311.0,0.0,0.0,0.0,0.0,per_iter
A	ceff	0.9757	1.5000	-	97.5700	29.2020	Tesla P100-PCIE-16GB,plain,1.500,0.9757,0.00000,rand,1,0.00,0.00,4096,contiguous,rmw,reset,0,24.00,16.00,15.611,6291456,4092382,199,3,1,9437184,9,12.1166,4.0887,4.0306,4.0597,2.31,0.04,14.0525,15.6113,15.6113,0,0,0.0000,0.0000,22.3629,6.8391,29.2020,2.0781,1.5914,1.8706,1.4325,1.8706,1.4325,6252.0,0.0,0.0,0.0,0.0,per_iter
B	amp	0.975522	1.5000	2	97.5522	20.7604	Tesla P100-PCIE-16GB,plain,1.500,0.9755,0.00000,rand,1,0.00,0.00,4096,contiguous,rmw,reset,0,24.00,16.00,15.608,6291456,4091635,201,3,2,9437184,9,9.2283,3.0902,3.0902,3.0946,3.05,0.05,14.0536,15.6094,15.6094,0,0,0.0000,0.0000,18.1575,2.6029,20.7604,1.4772,1.2920,1.3301,1.1633,1.3300,1.1632,3269.0,0.0,0.0,0.0,0.0,per_iter
B	amp	0.975583	1.5000	3	97.5583	20.8607	Tesla P100-PCIE-16GB,plain,1.500,0.9756,0.00000,rand,1,0.00,0.00,4096,contiguous,rmw,reset,0,24.00,16.00,15.609,6291456,4091891,200,3,2,9437184,9,9.8821,3.2977,3.2977,3.3104,2.86,0.05,14.0518,15.6094,15.6094,0,0,0.0000,0.0000,18.2169,2.6438,20.8607,1.4846,1.2964,1.3364,1.1670,1.3364,1.1670,3377.0,0.0,0.0,0.0,0.0,per_iter
B	amp	0.975644	1.5000	4	97.5644	28.9655	Tesla P100-PCIE-16GB,plain,1.500,0.9756,0.00000,rand,1,0.00,0.00,4096,contiguous,rmw,reset,0,24.00,16.00,15.610,6291456,4092147,200,3,2,9437184,9,12.1740,4.0129,4.0129,4.0757,2.35,0.04,14.0556,15.6113,15.6113,0,0,0.0000,0.0000,22.2474,6.7181,28.9655,2.0608,1.5828,1.8555,1.4252,1.8554,1.4251,6899.0,0.0,0.0,0.0,0.0,per_iter
B	amp	0.975766	1.5000	6	97.5766	37.9897	Tesla P100-PCIE-16GB,plain,1.500,0.9758,0.00000,rand,1,0.00,0.00,4096,contiguous,rmw,reset,0,24.00,16.00,15.612,6291456,4092659,199,3,1,9437184,9,15.4329,5.0276,5.1798,5.1037,1.88,0.03,14.0519,15.6133,15.6133,0,0,0.0000,0.0000,26.8074,11.1823,37.9897,2.7035,1.9077,2.4333,1.7171,2.4332,1.7170,8248.0,0.0,0.0,0.0,0.0,per_iter
B	amp	0.975888	1.5000	8	97.5888	47.2833	Tesla P100-PCIE-16GB,plain,1.500,0.9759,0.00000,rand,1,0.00,0.00,4096,contiguous,rmw,reset,0,24.00,16.00,15.614,6291456,4093170,198,3,1,9437184,9,18.5516,6.1639,6.1775,6.1707,1.53,0.02,14.0547,15.6152,15.6152,0,0,0.0000,0.0000,31.3558,15.9275,47.2833,3.3642,2.2310,3.0282,2.0082,3.0280,2.0080,9553.0,0.0,0.0,0.0,0.0,per_iter
B	amp	0.976132	1.5000	12	97.6132	64.9115	Tesla P100-PCIE-16GB,plain,1.500,0.9761,0.00000,rand,1,0.00,0.00,4096,contiguous,rmw,reset,0,24.00,16.00,15.618,6291456,4094194,196,3,1,9437184,9,24.9266,8.2523,8.3681,8.3102,1.14,0.02,14.0571,15.6191,15.6191,0,0,0.0000,0.0000,40.1296,24.7819,64.9115,4.6177,2.8548,4.1562,2.5694,4.1559,2.5693,10898.0,0.0,0.0,0.0,0.0,per_iter
B	amp	0.976377	1.5000	16	97.6377	83.4023	Tesla P100-PCIE-16GB,plain,1.500,0.9764,0.00000,rand,1,0.00,0.00,4096,contiguous,rmw,reset,0,24.00,16.00,15.622,6291456,4095221,194,3,1,9437184,9,37.1366,12.3683,12.4257,12.3970,0.76,0.01,14.0627,15.6230,15.6230,0,0,0.0000,0.0000,49.3397,34.0627,83.4023,5.9307,3.5085,5.3388,3.1583,5.3384,3.1581,12438.0,0.0,0.0,0.0,0.0,per_iter
B	amp	0.976865	1.5000	24	97.6865	116.2795	Tesla P100-PCIE-16GB,plain,1.500,0.9769,0.00000,rand,1,0.00,0.00,4096,contiguous,rmw,reset,0,24.00,16.00,15.630,6291456,4097268,190,3,1,9437184,9,48.3386,15.6317,15.9183,15.7750,0.60,0.01,14.0651,15.6309,15.6309,0,0,0.0000,0.0000,65.7163,50.5632,116.2795,8.2673,4.6723,7.4396,4.2045,7.4391,4.2043,15455.0,0.0,0.0,0.0,0.0,per_iter
B	amp	0.977353	1.5000	32	97.7353	151.8640	Tesla P100-PCIE-16GB,plain,1.500,0.9774,0.00000,rand,1,0.00,0.00,4096,contiguous,rmw,reset,0,24.00,16.00,15.638,6291456,4099315,186,3,2,9437184,9,55.8365,18.6363,18.6363,18.6689,0.51,0.01,14.0729,15.6387,15.6387,0,0,0.0000,0.0000,83.4052,68.4588,151.8640,10.7913,5.9267,9.7114,5.3336,9.7108,5.3333,17939.0,0.0,0.0,0.0,0.0,per_iter
B	amp	0.978330	1.5000	48	97.8330	220.3873	Tesla P100-PCIE-16GB,plain,1.500,0.9783,0.00000,rand,1,0.00,0.00,4096,contiguous,rmw,reset,0,24.00,16.00,15.653,6291456,4103413,178,3,1,9437184,9,92.8389,30.8385,30.9333,30.8859,0.31,0.00,14.0823,15.6543,15.6543,0,0,0.0000,0.0000,117.4772,102.9100,220.3873,15.6499,8.3422,14.0793,7.5049,14.0784,7.5045,24324.0,0.0,0.0,0.0,0.0,per_iter
B	amp	0.979306	1.5000	64	97.9306	292.4545	Tesla P100-PCIE-16GB,plain,1.500,0.9793,0.00000,rand,1,0.00,0.00,4096,contiguous,rmw,reset,0,24.00,16.00,15.669,6291456,4107507,170,3,2,9437184,9,105.4966,35.1160,35.1160,35.2352,0.27,0.00,14.0923,15.6699,15.6699,0,0,0.0000,0.0000,153.3589,139.0956,292.4545,20.7529,10.8825,18.6646,9.7874,18.6634,9.7868,29163.0,0.0,0.0,0.0,0.0,per_iter
B	amp	0.981259	1.5000	96	98.1259	430.9866	Tesla P100-PCIE-16GB,plain,1.500,0.9813,0.00000,rand,1,0.00,0.00,4096,contiguous,rmw,reset,0,24.00,16.00,15.700,6291456,4115698,154,3,2,9437184,9,154.9094,51.5585,51.5585,51.5774,0.18,0.00,14.1137,15.7012,15.7012,0,0,0.0000,0.0000,222.3164,208.6702,430.9866,30.5367,15.7518,27.4511,14.1602,27.4493,14.1592,38156.0,0.0,0.0,0.0,0.0,per_iter
B	amp	0.983213	1.5000	128	98.3213	566.4272	Tesla P100-PCIE-16GB,plain,1.500,0.9832,0.00000,rand,1,0.00,0.00,4096,contiguous,rmw,reset,0,24.00,16.00,15.731,6291456,4123894,138,3,2,9437184,9,200.9736,66.8013,66.8013,66.9115,0.14,0.00,14.1383,15.7324,15.7324,0,0,0.0000,0.0000,289.6760,276.7513,566.4272,40.0633,20.4887,36.0061,18.4138,36.0038,18.4127,44035.0,0.0,0.0,0.0,0.0,per_iter
